"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7M8FMQYU","journalArticle","2012","Mangels, Jennifer A.; Good, Catherine; Whiteman, Ronald C.; Maniscalco, Brian; Dweck, Carol S.","Emotion blocks the path to learning under stereotype threat","SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE","","1749-5016","10.1093/scan/nsq100","","Gender-based stereotypes undermine females' performance on challenging math tests, but how do they influence their ability to learn from the errors they make? Females under stereotype threat or non-threat were presented with accuracy feedback after each problem on a GRE-like math test, followed by an optional interactive tutorial that provided step-wise problem-solving instruction. Event-related potentials tracked the initial detection of the negative feedback following errors [feedback related negativity (FRN), P3a], as well as any subsequent sustained attention/arousal to that information [late positive potential (LPP)]. Learning was defined as success in applying tutorial information to correction of initial test errors on a surprise retest 24-h later. Under non-threat conditions, emotional responses to negative feedback did not curtail exploration of the tutor, and the amount of tutor exploration predicted learning success. In the stereotype threat condition, however, greater initial salience of the failure (FRN) predicted less exploration of the tutor, and sustained attention to the negative feedback (LPP) predicted poor learning from what was explored. Thus, under stereotype threat, emotional responses to negative feedback predicted both disengagement from learning and interference with learning attempts. We discuss the importance of emotion regulation in successful rebound from failure for stigmatized groups in stereotype-salient environments.","2012-02","2024-05-26 14:29:26","2024-05-26 14:29:26","2012-02-01","230-241","","2","7","","","","","","","","","","","","","","WOS:000300227500012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YY82JCNA","journalArticle","2004","SCHMADER, TONI M","Stereotype Threat as a Stress Induced Cognitive Deficit","","","","","","","2004","2024-05-26 14:29:26","2024-05-26 14:29:26","2023-12-14","","","","","","","","","","","","","","","","","","GRANTS:12043653","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I3JUB8W2","journalArticle","2019","Gajdos, Thibault; Regner, Isabelle; Huguet, Pascal; Hainguerlot, Marine; Vergnaud, Jean-Christophe; Sackur, Jerome; de Gardelle, Vincent","Does social context impact metacognition? Evidence from stereotype threat in a visual search task","PLOS ONE","","1932-6203","10.1371/journal.pone.0215050","","While recent studies have emphasized the role of metacognitive judgments in social interactions, whether social context might reciprocally impact individuals' metacognition remains an open question. It has been proposed that such might be the case in situations involving stereotype threat. Here, we provide the first empirical test of this hypothesis. Using a visual search task, we asked participants, on a trial-by-trial basis, to monitor the unfolding and accuracy of their search processes, and we developed a computational model to measure the accuracy of their metacognition. Results indicated that stereotype threat enhanced metacognitive monitoring of both outcomes and processes. Our study thus shows that social context can actually affect metacognition.","2019-04-15","2024-05-26 14:29:26","2024-05-26 14:29:26","2019-04-15","","","4","14","","","","","","","","","","","","","","WOS:000464503800016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FGR3L3BK","journalArticle","2009","Hess, Thomas M.; Hinson, Joey T.; Hodges, Elizabeth A.","Moderators of and Mechanisms Underlying Stereotype Threat Effects on Older Adults' Memory Performance","EXPERIMENTAL AGING RESEARCH","","0361-073X","10.1080/03610730802716413","","Recent research has suggested that negative stereotypes about aging may have a detrimental influence on older adults' memory performance. This study sought to determine whether stereotype-based influences were moderated by age, education, and concerns about being stigmatized. Possible mechanisms underlying these influences on memory performance were also explored. The memory performance of adults aged 60 to 70 years and 71 to 82 years was examined under conditions designed to induce or eliminate stereotype threat. Threat was found to have a greater impact on performance in the young-old than in the old-old group, whereas the opposite was observed for the effects of stigma consciousness. In both cases, the effects were strongest for those with higher levels of education. Further analyses found little evidence in support of the mediating roles of affective responses or working memory. The only evidence of mediation was found with respect to recall predictions, suggesting a motivational basis of threat effects on performance. These findings highlight the specificity of stereotype threat effects in later adulthood as well as possible mechanisms underlying such effects.","2009","2024-05-26 14:29:26","2024-05-26 14:29:26","2009-01-01","153-177","","2","35","","","","","","","","","","","","","","WOS:000264098700001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3E7RRWHP","journalArticle","2007","Beilock, Sian L.; Rydell, Robert J.; McConnell, Allen R.","Stereotype threat and working memory: Mechanisms, alleviation, and spillover","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL","","0096-3445","10.1037/0096-3445.136.2.256","","Stereotype threat (ST) occurs when the awareness of a negative stereotype about a social group in a particular domain produces suboptimal performance by members of that group. Although ST has been repeatedly demonstrated, far less is known about how its effects are realized. Using mathematical problem solving as a test bed, the authors demonstrate in 5 experiments that ST harms math problems that rely heavily on working memory resources-especially phonological aspects of this system. Moreover, by capitalizing on an understanding of the cognitive mechanisms by which ST exerts its impact, the authors show (a) how ST can be alleviated (e.g., by heavily practicing once-susceptible math problems such that they are retrieved directly from long-term memory rather than computed via a working-memory-intensive algorithm) and (b) when it will spill over onto subsequent tasks unrelated to the stereotype in question but dependent on the same cognitive resources that stereotype threat also uses. The current work extends the knowledge of the causal mechanisms of stereotype threat and demonstrates how its effects can be attenuated and propagated.","2007-05","2024-05-26 14:29:26","2024-05-26 14:29:26","2007-05-01","256-276","","2","136","","","","","","","","","","","","","","WOS:000246249200007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23ZFZHXN","journalArticle","2021","CLARK, URAINA S.","Effects of Stereotype Threat on Impulsivity and Its Relation to Alcohol Use in African Americans: An fMRI Study","","","","","","SummaryAfrican Americans experience higher rates of alcohol-related sequalae (e.g., cirrhosis, mortality) relative totheir European American counterparts. It is thus critical from a public health perspective that we gain a deepunderstanding of the unique factors contributing to alcohol use behaviors in African American individuals. Tothis end, many studies have focused on understanding how social and environmental factors (socialdeterminants) contribute to increased alcohol use among African Americans. Yet, the mechanisms throughwhich these social determinants affect alcohol use behaviors are poorly understood, resulting in an absence ofvital information needed to enhance alcohol use disorders (AUD) prevention and intervention strategies. Wehave recently shown that exposure to a common stressor, stereotype threat, is associated with increases inimpulsivity – a key mediating mechanism of AUD risk. Stereotype threat (ST) is a behavioral phenomenon thatarises when cues in the environment evoke negative stereotypes associated with an individual’s group,triggering cognitive processes that adversely impact behavior. An enduring stereotype of African Americancommunities is that they experience high levels of alcohol/substance use. We have shown that exposure tothese negative race-related stereotypes elevates impulsivity. Further, our data reveal that this increase inimpulsivity correlates with alcohol use among African Americans. These findings reveal ST-induced impulsivityas a novel correlate of AUD-risk behaviors. In line with NIAAA’s goal to develop a more thoroughunderstanding of the mechanisms contributing to AUD risk, we propose to investigate the neural mechanismsassociated with ST-induced impulsivity. We will further assess whether these neural mechanisms areassociated with alcohol use behaviors among African American adults. Participants will include 280 AfricanAmerican adults who regularly consume alcohol. While undergoing functional MRI, all will complete a measureof impulsivity administered both before and after an ST exposure manipulation. This manipulation will utilize a2x2x2 between-subjects design to systematically manipulate exposure to a verbal ST prime, race-relatedstimuli, and AUD-related stimuli in order to assess the effects of these exposures, independently andcombined, on neural systems involved in impulsive decision-making. Alcohol use behaviors will be assessedoutside of the scanner. We predict that ST exposure will lead to shifts within affect-related and cognitivecontrol-related brain regions. To increase clinical impact, we will assess the relation of ST-induced shifts inimpulsivity and brain response to alcohol use behaviors. Results from the proposed study will enrich ourunderstanding of how sociocultural, behavioral, and neural factors combine to influence AUD risk behaviors. Inaddition, our results will provide greater insights into the neural systems implicated in AUD-risk – systems thatcould serve as targets for novel strategies that enhance resilience.","2021","2024-05-26 14:29:26","2024-05-26 14:29:26","2024-03-05","","","","","","","","","","","","","","","","","","GRANTS:17446398","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3HGRH4A7","journalArticle","2021","CLARK, URAINA S.","Effects of Stereotype Threat on Impulsivity and Its Relation to Alcohol Use in African Americans: An fMRI Study","","","","","","SummaryAfrican Americans experience higher rates of alcohol-related sequalae (e.g., cirrhosis, mortality) relative totheir European American counterparts. It is thus critical from a public health perspective that we gain a deepunderstanding of the unique factors contributing to alcohol use behaviors in African American individuals. Tothis end, many studies have focused on understanding how social and environmental factors (socialdeterminants) contribute to increased alcohol use among African Americans. Yet, the mechanisms throughwhich these social determinants affect alcohol use behaviors are poorly understood, resulting in an absence ofvital information needed to enhance alcohol use disorders (AUD) prevention and intervention strategies. Wehave recently shown that exposure to a common stressor, stereotype threat, is associated with increases inimpulsivity – a key mediating mechanism of AUD risk. Stereotype threat (ST) is a behavioral phenomenon thatarises when cues in the environment evoke negative stereotypes associated with an individual’s group,triggering cognitive processes that adversely impact behavior. An enduring stereotype of African Americancommunities is that they experience high levels of alcohol/substance use. We have shown that exposure tothese negative race-related stereotypes elevates impulsivity. Further, our data reveal that this increase inimpulsivity correlates with alcohol use among African Americans. These findings reveal ST-induced impulsivityas a novel correlate of AUD-risk behaviors. In line with NIAAA’s goal to develop a more thoroughunderstanding of the mechanisms contributing to AUD risk, we propose to investigate the neural mechanismsassociated with ST-induced impulsivity. We will further assess whether these neural mechanisms areassociated with alcohol use behaviors among African American adults. Participants will include 280 AfricanAmerican adults who regularly consume alcohol. While undergoing functional MRI, all will complete a measureof impulsivity administered both before and after an ST exposure manipulation. This manipulation will utilize a2x2x2 between-subjects design to systematically manipulate exposure to a verbal ST prime, race-relatedstimuli, and AUD-related stimuli in order to assess the effects of these exposures, independently andcombined, on neural systems involved in impulsive decision-making. Alcohol use behaviors will be assessedoutside of the scanner. We predict that ST exposure will lead to shifts within affect-related and cognitivecontrol-related brain regions. To increase clinical impact, we will assess the relation of ST-induced shifts inimpulsivity and brain response to alcohol use behaviors. Results from the proposed study will enrich ourunderstanding of how sociocultural, behavioral, and neural factors combine to influence AUD risk behaviors. Inaddition, our results will provide greater insights into the neural systems implicated in AUD-risk – systems thatcould serve as targets for novel strategies that enhance resilience.","2021","2024-05-26 14:29:26","2024-05-26 14:29:26","2023-12-14","","","","","","","","","","","","","","","","","","GRANTS:15582540","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G37S58ZQ","journalArticle","2010","Inzlicht, Michael; Kang, Sonia K.","Stereotype Threat Spillover: How Coping With Threats to Social Identity Affects Aggression, Eating, Decision Making, and Attention","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","","0022-3514","10.1037/a0018951","","Stereotype threat spillover is a situational predicament in which coping with the stress of stereotype confirmation leaves one in a depleted volitional state and thus less likely to engage in effortful self-control in a variety of domains. We examined this phenomenon in 4 studies in which we had participants cope with stereotype and social identity threat and then measured their performance in domains in which stereotypes were not ""in the air."" In Study 1 we examined whether taking a threatening math test could lead women to respond aggressively. In Study 2 we investigated whether coping with a threatening math test could lead women to indulge themselves with unhealthy food later on and examined the moderation of this effect by personal characteristics that contribute to identity-threat appraisals. In Study 3 we investigated whether vividly remembering an experience of social identity threat results in risky decision making. Finally, in Study 4 we asked whether coping with threat could directly influence attentional control and whether the effect was implemented by inefficient performance monitoring, as assessed by electroencephalography. Our results indicate that stereotype threat can spill over and impact self-control in a diverse array of nonstereotyped domains. These results reveal the potency of stereotype threat and that its negative consequences might extend further than was previously thought.","2010-09","2024-05-26 14:29:26","2024-05-26 14:29:26","2010-09-01","467-481","","3","99","","","","","","","","","","","","","","WOS:000281330800005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"896ZGIWU","journalArticle","2023","Amey, Rachel; Emich, Kyle J. J.; Forbes, Chad E. E.","When Majority Men Respect Minority Women, Groups Communicate Better: A Neurological Exploration","SMALL GROUP RESEARCH","","1046-4964","10.1177/10464964231175640","","Groups must leverage their members' diverse knowledge to make optimal decisions. However, the gender composition of a group may affect this ability, particularly because solo status female members (one female grouped with males) are generally allocated lower status than their male counterparts, so their knowledge is more likely to be ignored. Whereas most previous work suggests ways solo status women can increase their status; instead, we propose that groups communicate better when men give their female teammate appropriate respect. We examine this in mixed-gender groups working on a hidden profile task while wearing wireless EEGs to measure live neural activity. We find that groups who solve the problem correctly are more likely to contain majority male members with more approach-oriented mindsets, operationalized as neural alpha asymmetry, as they respect their female teammate more. Thus, we provide evidence that neural activity is partially responsible for whether mixed-gender groups make optimal decisions.","2023-12","2024-05-26 14:29:26","2024-05-26 14:29:26","2023-06-16","759-791","","6","54","","","","","","","","","","","","","","WOS:001001680400001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WSMBITMI","journalArticle","2018","Forbes, Chad E.; Amey, Rachel; Magerman, Adam B.; Duran, Kelly; Liu, Mengting","Stereotype-based stressors facilitate emotional memory neural network connectivity and encoding of negative information to degrade math self-perceptions among women","SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE","","1749-5016","10.1093/scan/nsy043","","Stress engendered by stereotype threatening situations may facilitate encoding of negative, stereotype confirming feedback received during a performance among women in science, technology, engineering and mathematics (STEM). It is unclear, however, whether this process is comprised of the same neurophysiological mechanisms evident in any emotional memory encoding context, or if this encoding bias directly undermines positive self-perceptions in the stigmatized domain. A total of 160 men and women completed a math test that provided veridical positive and negative feedback, a memory test for feedback, and math self-enhancing and valuing measures in a stereotype threatening or neutral context while continuous electroencephalography activity and startle probe responses to positive and negative feedback was recorded. Indexing amygdala activity to feedback via startle responses and emotional memory network connectivity elicited during accurate recognition of positive and negative feedback via graph analyses, only stereotype threatened women encoded negative feedback better when they exhibited increased amygdala activity and emotional memory network connectivity in response to said feedback. Emotional memory biases, in turn, predicted decreases in women's self-enhancing, math valuing and performance. Findings provide an emotional memory encoding-based mechanism for well-established findings indicating that women have more negative math self-perceptions compared with men regardless of actual performance.","2018-07","2024-05-26 14:29:26","2024-05-26 14:29:26","2018-09-20","719-740","","7","13","","","","","","","","","","","","","","WOS:000444326200006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H4D3KZVE","journalArticle","2019","ABATE, ANNA","The Effect of Sterotype Threat in Police Encounters on Behaviorial and Affective Outcomes","","","","","","PROJECT SUMMARY/ABSTRACTBlack and Hispanic individuals experience disproportionate levels of police contact1 and it has beenhypothesized that stereotype threat—the fear of confirming negative stereotypes about one’s group—negatively influences police-minority interactions2-4. It is well documented that experiencing stereotype threathas negative behavioral, affective, cognitive, and health consequences5—possibly accounting for disparities inphysical/mental health outcomes among racial/ethnic minorities6. Thus, the broad aim of this study is toexamine the role stereotype threat may play in racial/ethnic minority group interactions with policeofficers. Prior research suggests that stereotype threat acts as an acute stressors and leads to dysregulationof the hypothalamic-pituitary-adrenal (HPA) axis7,8, leading to anxiety9 or aggression10. Social informationprocessing theory adds to this picture by indicating stressful social situations (e.g., stereotype threat) result inaggression or negative affectivity (i.e., anxiety or depression) due to dysfunction in social cognition. Oneprevious study has examined stereotype threat in a legal context3; however, no studies have linked stereotypethreat in a legal setting with downstream effects on negative affect and aggressive behavior. Further, nostudies have examined the theorized biological and social cognitive mechanisms driving these effects. Thisresearch proposal addresses these gaps by (a) examining whether the relation between stereotype threatinduction in a legal context and aggressive behavior/negative affective states is mediated by cortisol andtestosterone levels, (b) examining whether the previously documented relation between stereotype threatinduction and aggressive behavior/negative affective states is mediated by dysfunction in social cognition,and (c) examining whether race/ethnicity act as a moderator of stereotype threat effect. This proposalutilizes a biopsychosocial model of psychopathology that reflects the Research Domain Criteria’s(RDoC) framework of integrating multiple levels of analysis (i.e., neurobiological, behavioral, social-cognitive). Specifically, it reflects the mission of the National Institute of Mental Health (NIMH) to transform theunderstanding of mental illness by identifying neural mechanisms in specific domains of mental function.Reflecting these missions and frameworks, this study aims to elucidate how cognitive (i.e., socialcognition) and biological (i.e., cortisol and testosterone levels) processes mediate stress (i.e.,stereotype threat) processes to confer risk for mental disorders, spanning multiple levels of analysis(e.g., self-report and behavioral data) to uncover fundamental mechanisms (e.g., biological, cognitive)of complex social behavior in diverse populations. Finally, this award will aid in the training of a youngresearcher seeking to understand the mechanisms associated with negative outcomes of stereotype threat inminority young adults by providing necessary scaffolding toward an independent research career, providingopportunities for advanced research skills and enhanced breadth and depth of knowledge across disciplines.","2019","2024-05-26 14:29:26","2024-05-26 14:29:26","2023-12-14","","","","","","","","","","","","","","","","","","GRANTS:15002115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9FNF43Q","journalArticle","2019","ABATE, ANNA","The Effect of Sterotype Threat in Police Encounters on Behaviorial and Affective Outcomes","","","","","","PROJECT SUMMARY/ABSTRACTBlack and Hispanic individuals experience disproportionate levels of police contact1 and it has beenhypothesized that stereotype threat—the fear of confirming negative stereotypes about one’s group—negatively influences police-minority interactions2-4. It is well documented that experiencing stereotype threathas negative behavioral, affective, cognitive, and health consequences5—possibly accounting for disparities inphysical/mental health outcomes among racial/ethnic minorities6. Thus, the broad aim of this study is toexamine the role stereotype threat may play in racial/ethnic minority group interactions with policeofficers. Prior research suggests that stereotype threat acts as an acute stressors and leads to dysregulationof the hypothalamic-pituitary-adrenal (HPA) axis7,8, leading to anxiety9 or aggression10. Social informationprocessing theory adds to this picture by indicating stressful social situations (e.g., stereotype threat) result inaggression or negative affectivity (i.e., anxiety or depression) due to dysfunction in social cognition. Oneprevious study has examined stereotype threat in a legal context3; however, no studies have linked stereotypethreat in a legal setting with downstream effects on negative affect and aggressive behavior. Further, nostudies have examined the theorized biological and social cognitive mechanisms driving these effects. Thisresearch proposal addresses these gaps by (a) examining whether the relation between stereotype threatinduction in a legal context and aggressive behavior/negative affective states is mediated by cortisol andtestosterone levels, (b) examining whether the previously documented relation between stereotype threatinduction and aggressive behavior/negative affective states is mediated by dysfunction in social cognition,and (c) examining whether race/ethnicity act as a moderator of stereotype threat effect. This proposalutilizes a biopsychosocial model of psychopathology that reflects the Research Domain Criteria’s(RDoC) framework of integrating multiple levels of analysis (i.e., neurobiological, behavioral, social-cognitive). Specifically, it reflects the mission of the National Institute of Mental Health (NIMH) to transform theunderstanding of mental illness by identifying neural mechanisms in specific domains of mental function.Reflecting these missions and frameworks, this study aims to elucidate how cognitive (i.e., socialcognition) and biological (i.e., cortisol and testosterone levels) processes mediate stress (i.e.,stereotype threat) processes to confer risk for mental disorders, spanning multiple levels of analysis(e.g., self-report and behavioral data) to uncover fundamental mechanisms (e.g., biological, cognitive)of complex social behavior in diverse populations. Finally, this award will aid in the training of a youngresearcher seeking to understand the mechanisms associated with negative outcomes of stereotype threat inminority young adults by providing necessary scaffolding toward an independent research career, providingopportunities for advanced research skills and enhanced breadth and depth of knowledge across disciplines.","2019","2024-05-26 14:29:26","2024-05-26 14:29:26","2023-12-14","","","","","","","","","","","","","","","","","","GRANTS:11786452","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"256ESLDJ","journalArticle","2012","Quinn, Kimberly A.; Rosenthal, Harriet E. S.","Categorizing others and the self: How social memory structures guide social perception and behavior","LEARNING AND MOTIVATION","","0023-9690","10.1016/j.lmot.2012.05.008","","In keeping with the special issue theme of ""Remembering the Future,"" this article provides a selective review of research on how memory for social information (i.e., social category representation) influences future processing and behavior. Specifically, the authors focus on how categorization and stereotyping affect how we perceive others and ourselves. The first part of the article reviews research on how individuals perceive others. The authors review research on the determinants and outcomes of social categorization and stereotype activation, concluding with the influence of ingroup/outgroup categorization on face processing. The second part of the article reviews research on how individuals perceive themselves. The authors argue that stereotype threat-concerns about being judged or behaving in ways that confirm negative group stereotypes, leading to poor performance-is the result of both self-categorization and stereotype activation. Overall, the article highlights the complex relationship between memory for social category information and future social perception and behavior. (C) 2012 Elsevier Inc. All rights reserved.","2012-11","2024-05-26 14:29:26","2024-05-26 14:29:26","2012-11-01","247-258","","4","43","","","","","","","","","","","","","","WOS:000310115000010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NU7H4VHL","journalArticle","2010","Rydell, Robert J.; Shiffrin, Richard M.; Boucher, Kathryn L.; Van Loo, Katie; Rydell, Michael T.","Stereotype threat prevents perceptual learning","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","","0027-8424","10.1073/pnas.1002815107","","Stereotype threat (ST) refers to a situation in which a member of a group fears that her or his performance will validate an existing negative performance stereotype, causing a decrease in performance. For example, reminding women of the stereotype ""women are bad at math"" causes them to perform more poorly on math questions from the SAT and GRE. Performance deficits can be of several types and be produced by several mechanisms. We show that ST prevents perceptual learning, defined in our task as an increasing rate of search for a target Chinese character in a display of such characters. Displays contained two or four characters and half of these contained a target. Search rate increased across a session of training for a control group of women, but not women under ST. Speeding of search is typically explained in terms of learned ""popout"" (automatic attraction of attention to a target). Did women under ST learn popout but fail to express it? Following training, the women were shown two colored squares and asked to choose the one with the greater color saturation. Superimposed on the squares were task-irrelevant Chinese characters. For women not trained under ST, the presence of a trained target on one square slowed responding, indicating that training had caused the learning of an attention response to targets. Women trained under ST showed no slowing, indicating that they had not learned such an attention response.","2010-08-10","2024-05-26 14:29:26","2024-05-26 14:29:26","2010-08-10","14042-14047","","32","107","","","","","","","","","","","","","","WOS:000280767700015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I2NCFCSD","journalArticle","2020","","Interactive Effects of Sex Hormones, Psychosocial Stress and Self-Efficacy on Cognitive Sex Differences","","","","","","Cognitive sex differences are influenced by social and biological factors; for instance, studies have found the behavioural assimilation to gender stereotypes to be moderated by variation in sex hormones. This project aims to investigate the psychological, hormonal and neural mechanisms underlying the effect of gender stereotypes and stress on cognitive sex differences. Based on previous work, I predict that a range of biological, psychological and social factors will interact to moderate the impact of gender priming, and stress, on men's and women's cognitive performance. Specifically, drawing directly on social psychological work in the stereotype threat domain, it is hypothesised that men will experience stereotype 'boost' (mediated by increased testosterone levels) in a stressful situation, while women will be more susceptible to stereotype threat (mediated by increased cortisol levels). In each of my studies 400 participants (200 women) will be divided in 3 groups and perform a battery of gender-sensitive cognitive tasks, including mental rotation and verbal memory. Saliva samples will be taken before and after testing for the analysis of cortisol and testosterone levels. Experimental groups will be gender-primed before cognitive testing with a questionnaire (vs. a control group who will complete a gender-neutral questionnaire). Psychosocial stress will be induced with the Trier Social Stress Test in the experimental group, while the control group will undergo a waiting period of the same duration. Participants will be informed of cognitive sex differences and the effects of stereotype threat before cognitive testing. The results will have direct relevance for the understanding of cognitive sex differences with consequent implications for educational practice, gender equality and the STEM debate.","2020","2024-05-26 14:29:26","2024-05-26 14:29:26","2023-12-08","","","","","","","","","","","","","","","","","","GRANTS:15373283","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WFN3N3NN","journalArticle","2012","Nasir, Na'ilah Suad; Snyder, Cyndy R.; Shah, Niral; Ross, Kihana Miraya","Racial Storylines and Implications for Learning","HUMAN DEVELOPMENT","","0018-716X","10.1159/000345318","","In this article, we theorize the relation between race and schooling and consider the implications for learning. While the body of research on culture and learning has come to define learning as an inherently cultural and social process, scholars have few theoretical tools to help us think about the role of race and racism in relation to students' access to identities as learners and to learning. We draw on both theoretical and empirical literature to make three core arguments: (a) racial 'storylines' or narratives are prevalent in our society and have powerful implications for learners, particularly for youth from marginalized communities; (b) these racial storylines are a critical aspect of life in schools, which serve the purpose of racially and academically socializing students; and (c) as these storylines are invoked in school settings, certain identities are made available, imposed, or closed down. Such identities have important implications for students' opportunities to learn and their engagement in learning settings. As we conclude, we consider the potential of alternative spaces, which can serve to counter dominant narratives about who is capable of learning and how learning takes place, and open new spaces for identity and learning. Copyright (C) 2013 S. Karger AG, Basel","2012","2024-05-26 14:29:26","2024-05-26 14:29:26","2013-02-14","285-301","","5-6","55","","","","","","","","","","","","","","WOS:000313472500004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WKYG749F","journalArticle","2009","Ito, Tiffany","Understanding and Reducing the Gender Gap in Math and Science:  Cognitive, Social, and Neural Mechanisms in Identity Threat","","","","","","<br/><br/>The proposed project is focused on the gender gap in the STEM disciplines through research on the impact of stereotype threat, which is viewed as an important factor in female underrepresentation in mathematics and science. Stereotype threat for women in math and science takes the form of a fear that they could be judged in light of negative stereotypes. The research rigorously tests the emerging view that identity threat impairs<br/>learning and performance by reducing mental capacity, specifically working memory capacity, cluttering individuals? minds with negative task-irrelevant thoughts (e.g., worry) and inducing them to excessively monitor task performance. Affirmation is hypothesized to reduce task-irrelevant thoughts and/or excessive performance monitoring, thereby protecting working memory capacity from the effects of identity threat.<br/><br/>Using multiple levels of analysis, the research is designed to: a) test whether stereotype threat diminishes the math and science performance of undergraduate women by reducing working memory capacity; b) determine the efficacy of a self-affirmation intervention for lessening the negative impact of stereotype threat on women's math performance and clarify the underlying cognitive mechanism (i.e., depleted working memory capacity ) that allegedly mediates its impact; and c) examine whether a self-affirmation intervention can improve the learning of new scientific concepts in addition to enhancing the solving of math and science problems. A significant strength of this proposal is the proposed testing of working memory capacity in a more rigorous and comprehensive manner than previously done, by examining multiple mediating mechanisms with a diverse array of converging measures (e.g., reaction times, event-related potentials, heart rates. <br/><br/>The proposed research will yield rich data on underlying mechanisms that should provide a foundation for conducting larger-scale longitudinal interventions in actual STEM classrooms. The research also has the potential to advance knowledge and understanding across several fields and create transformative concepts<br/><br/>This project has the potential to significantly reduce the gender gap in STEM fields at the undergraduate and graduate levels through significantly reducing underrepresentation in these disciplines and increasing performance on standardized tests of math and science. At the same time, the proposed activities offer a unique blend of training opportunities to undergraduate trainees, graduate and post-grad students. The interdisciplinary team includes leading researchers with expertise in cognitive psychology, social neuroscience, and science education. Thus the project also can serve as a proof of concept that an interdisciplinary approach can reveal the mechanisms underlying one of the most significant psychological barriers to women's success in the STEM, and that a psychological intervention targeting identity threat can improve women's STEM learning and performance.<br/>","2009","2024-05-26 14:29:26","2024-05-26 14:29:26","2023-12-08","","","","","","","","","","","","","","","","","","GRANTS:13567252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
